id,day_offset,name,category,price_per_night,rooms_available,rating
1,0,Trikuta Guest House,Budget,750,26,3.7
2,0,Ban Ganga Comfort Stay,Budget,1475,26,4.6
3,0,Yatri Niwas Lodge,Budget,749,26,4.8
4,0,Katra Bus Stand Inn,Budget,649,29,3.4
5,0,Trikuta Residency,Mid-Range,3968,17,4.1
6,0,Bhawan View Hotel,Mid-Range,3944,2,4.4
7,0,Katra Heritage Inn,Mid-Range,3154,20,3.3
8,0,Devi Darshan Hotel,Mid-Range,2196,12,4.1
9,0,Trikuta Hills Resort,Premium,5738,11,3.8
10,0,Vaishnavi Grand,Premium,7248,1,4.6
11,0,Katra Palace Hotel,Premium,7453,12,4.3
12,1,Trikuta Guest House,Budget,620,9,3.7
13,1,Ban Ganga Comfort Stay,Budget,1273,15,4.6
14,1,Yatri Niwas Lodge,Budget,857,23,4.8
15,1,Katra Bus Stand Inn,Budget,922,11,3.4
16,1,Trikuta Residency,Mid-Range,2270,20,4.1
17,1,Bhawan View Hotel,Mid-Range,3969,14,4.4
18,1,Katra Heritage Inn,Mid-Range,2885,11,3.3
19,1,Devi Darshan Hotel,Mid-Range,2290,7,4.1
20,1,Trikuta Hills Resort,Premium,11226,11,3.8
21,1,Vaishnavi Grand,Premium,11758,9,4.6
22,1,Katra Palace Hotel,Premium,10072,10,4.3
23,2,Trikuta Guest House,Budget,1134,5,3.7
24,2,Ban Ganga Comfort Stay,Budget,811,7,4.6
25,2,Yatri Niwas Lodge,Budget,1357,9,4.8
26,2,Katra Bus Stand Inn,Budget,1378,11,3.4
27,2,Trikuta Residency,Mid-Range,3909,15,4.1
28,2,Bhawan View Hotel,Mid-Range,3374,19,4.4
29,2,Katra Heritage Inn,Mid-Range,3471,15,3.3
30,2,Devi Darshan Hotel,Mid-Range,2198,13,4.1
31,2,Trikuta Hills Resort,Premium,7265,3,3.8
32,2,Vaishnavi Grand,Premium,7411,6,4.6
33,2,Katra Palace Hotel,Premium,9954,5,4.3
34,3,Trikuta Guest House,Budget,1254,6,3.7
35,3,Ban Ganga Comfort Stay,Budget,1071,9,4.6
36,3,Yatri Niwas Lodge,Budget,964,21,4.8
37,3,Katra Bus Stand Inn,Budget,1143,26,3.4
38,3,Trikuta Residency,Mid-Range,3916,20,4.1
39,3,Bhawan View Hotel,Mid-Range,3390,15,4.4
40,3,Katra Heritage Inn,Mid-Range,3921,7,3.3
41,3,Devi Darshan Hotel,Mid-Range,3210,4,4.1
42,3,Trikuta Hills Resort,Premium,6543,12,3.8
43,3,Vaishnavi Grand,Premium,7974,4,4.6
44,3,Katra Palace Hotel,Premium,5280,9,4.3
45,4,Trikuta Guest House,Budget,1167,18,3.7
46,4,Ban Ganga Comfort Stay,Budget,1385,15,4.6
47,4,Yatri Niwas Lodge,Budget,1344,24,4.8
48,4,Katra Bus Stand Inn,Budget,617,15,3.4
49,4,Trikuta Residency,Mid-Range,2238,9,4.1
50,4,Bhawan View Hotel,Mid-Range,2872,5,4.4
51,4,Katra Heritage Inn,Mid-Range,2856,8,3.3
